Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor555                                           (2, 256)     2.00K
Tensor556                                               (2,)   512.00B
Tensor557                                               (1,)   512.00B
Parameter558                                        (256, 1)     1.00K
Parameter559                                          (256,)     1.00K
Tensor560                                           (256, 1)     1.00K
Tensor561                                             (256,)     2.00K
Parameter562                                      (256, 279)   279.00K
Parameter563                                          (256,)     1.00K
Parameter564                                      (256, 256)   256.00K
Parameter565                                          (256,)     1.00K
Tensor566                                         (256, 256)   256.00K
Tensor567                                             (256,)     2.00K
Parameter568                                      (256, 256)   256.00K
Parameter569                                          (256,)     1.00K
Tensor570                                         (256, 256)   256.00K
Tensor571                                             (256,)     2.00K
Parameter572                                        (2, 256)     2.00K
Parameter573                                            (2,)   512.00B
Tensor574                                           (2, 256)     2.00K
Tensor575                                               (2,)   512.00B
Tensor576                                               (1,)   512.00B
Tensor577                                          (1000, 1)     4.00K
Parameter578                                        (256, 1)     1.00K
Parameter579                                          (256,)     1.00K
Tensor580                                           (256, 1)     1.00K
Tensor581                                             (256,)     2.00K
Parameter582                                      (256, 279)   279.00K
Parameter583                                          (256,)     1.00K
Parameter584                                      (256, 256)   256.00K
Parameter585                                          (256,)     1.00K
Tensor586                                         (256, 256)   256.00K
Tensor587                                             (256,)     2.00K
Parameter588                                      (256, 256)   256.00K
Parameter589                                          (256,)     1.00K
Tensor590                                         (256, 256)   256.00K
Tensor591                                             (256,)     2.00K
Parameter592                                        (2, 256)     2.00K
Parameter593                                            (2,)   512.00B
Tensor594                                           (2, 256)     2.00K
Tensor595                                               (2,)   512.00B
Tensor596                                               (1,)   512.00B
Tensor597                                               (1,)   512.00B
Tensor598                                          (111709,)   436.50K
Tensor599                                          (111709,)   436.50K
Parameter600                                      (9975614,)    38.05M
Parameter601                                          (893,)     3.50K
Tensor602                                       (2, 9975614)   152.22M
Parameter603                                          (893,)     3.50K
Parameter604                                          (893,)     3.50K
Parameter605                                        (56973,)   223.00K
Parameter606                                          (638,)     2.50K
Tensor607                                         (2, 56973)   890.50K
Parameter608                                          (638,)     2.50K
Parameter609                                          (638,)     2.50K
Parameter610                                        (35600,)   139.50K
Parameter611                                          (558,)     2.50K
Tensor612                                         (2, 35600)   556.50K
Parameter613                                          (558,)     2.50K
Parameter614                                          (558,)     2.50K
Parameter615                                        (15568,)    61.00K
Parameter616                                          (279,)     1.50K
Tensor617                                         (2, 15568)   243.50K
Parameter618                                          (279,)     1.50K
Parameter619                                          (279,)     1.50K
Parameter620                                         (7784,)    30.50K
Parameter621                                          (279,)     1.50K
Tensor622                                          (2, 7784)   122.00K
Tensor623                                               (1,)   512.00B
Tensor624                                          (1000, 1)     4.00K
Tensor625                                          (1000, 1)     4.00K
Tensor626                                          (1000, 1)     4.00K
Tensor627                                          (1000, 1)     4.00K
Tensor628                                          (1000, 1)     4.00K
Tensor629                                          (1000, 1)     4.00K
Tensor630                                          (1000, 1)     4.00K
Tensor631                                          (1000, 1)     4.00K
Tensor632                                          (1000, 1)     0.00B
Tensor633                                          (1000, 1)     4.00K
Tensor634                                          (1000, 1)     0.00B
Tensor635                                          (1000, 1)     4.00K
Tensor636                                          (1000, 1)     0.00B
Tensor637                                          (1000, 1)     4.00K
Tensor638                                          (1000, 1)     0.00B
Tensor639                                          (1000, 1)     4.00K
Tensor640                                          (1000, 1)     0.00B
Tensor641                                          (1000, 1)     4.00K
Tensor642                                          (1000, 1)     0.00B
Tensor643                                          (1000, 1)     4.00K
Tensor644                                          (1000, 1)     0.00B
Tensor645                                          (1000, 1)     0.00B
Tensor646                                               (1,)   512.00B
Parameter647                                          (8, 1)   512.00B
Parameter647.grad                                     (8, 1)   512.00B
Parameter648                                            (8,)   512.00B
Parameter648.grad                                       (8,)   512.00B
Tensor649                                             (8, 1)   512.00B
Parameter650                                          (8, 8)   512.00B
Parameter650.grad                                     (8, 8)   512.00B
Parameter651                                            (8,)   512.00B
Parameter651.grad                                       (8,)   512.00B
Tensor652                                             (8, 8)   512.00B
Parameter653                                          (2, 8)   512.00B
