Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Parameter477.grad                                       (2,)     0.00B
Parameter478                                          (8, 1)   512.00B
Parameter478.grad                                     (8, 1)     0.00B
Parameter479                                            (8,)   512.00B
Parameter479.grad                                       (8,)     0.00B
Parameter480                                          (8, 8)   512.00B
Parameter480.grad                                     (8, 8)     0.00B
Parameter481                                            (8,)   512.00B
Parameter481.grad                                       (8,)     0.00B
Tensor482                                               (1,)   512.00B
Tensor483                                               (1,)   512.00B
Tensor484                                               (1,)   512.00B
Tensor485                                          (1000, 1)     4.00K
Tensor486                                               (1,)   512.00B
Tensor487                                               (1,)   512.00B
Tensor488                                          (1000, 1)     4.00K
Tensor489                                               (1,)   512.00B
Tensor490                                               (1,)   512.00B
Tensor491                                          (1000, 1)     4.00K
Tensor492                                               (1,)   512.00B
Tensor493                                               (1,)   512.00B
Tensor494                                          (1000, 1)     4.00K
Tensor495                                               (1,)   512.00B
Tensor496                                               (1,)   512.00B
Tensor497                                          (1000, 1)     4.00K
Tensor498                                               (1,)   512.00B
Tensor499                                               (1,)   512.00B
Tensor500                                               (1,)   512.00B
Tensor501                                               (1,)   512.00B
Tensor502                                               (1,)   512.00B
Tensor503                                               (1,)   512.00B
Tensor504                                          (1000, 1)     4.00K
Tensor505                                          (1000, 1)     4.00K
Tensor506                                          (1000, 1)     4.00K
Tensor507                                          (1000, 1)     0.00B
Tensor508                                          (1000, 1)     4.00K
Tensor509                                          (1000, 1)     0.00B
Tensor510                                          (1000, 1)     4.00K
Tensor511                                          (1000, 1)     0.00B
Tensor512                                          (1000, 1)     4.00K
Tensor513                                          (1000, 1)     0.00B
Tensor514                                          (1000, 1)     4.00K
Tensor515                                          (1000, 1)     0.00B
Tensor516                                          (1000, 1)     4.00K
Tensor517                                          (1000, 1)     0.00B
Tensor518                                          (1000, 1)     4.00K
Tensor519                                          (1000, 1)     0.00B
Tensor520                                          (1000, 1)     4.00K
Tensor521                                          (1000, 1)     0.00B
Tensor522                                          (1000, 1)     4.00K
Tensor523                                               (1,)   512.00B
Tensor524                                               (1,)   512.00B
Tensor525                                               (1,)   512.00B
Tensor526                                               (1,)   512.00B
Tensor527                                               (1,)   512.00B
Tensor528                                               (1,)   512.00B
Tensor529                                               (1,)   512.00B
Tensor530                                               (1,)   512.00B
Tensor531                                               (1,)   512.00B
Tensor532                                               (1,)   512.00B
Tensor533                                               (1,)   512.00B
Tensor534                                               (1,)   512.00B
Tensor535                                               (1,)   512.00B
Tensor536                                               (1,)   512.00B
Tensor537                                               (1,)   512.00B
Tensor538                                          (111709,)   436.50K
Tensor539                                          (111709,)   436.50K
Tensor540                                          (1000, 1)     4.00K
Parameter541                                      (256, 279)   279.00K
Parameter542                                          (256,)     1.00K
Parameter543                                      (256, 256)   256.00K
Parameter544                                          (256,)     1.00K
Parameter545                                       (29, 256)    29.00K
Parameter546                                           (29,)   512.00B
Parameter547                                      (9975614,)    38.05M
Parameter548                                          (893,)     3.50K
Tensor549                                       (2, 9975614)   152.22M
Parameter550                                          (893,)     3.50K
Parameter551                                          (893,)     3.50K
Parameter552                                        (56973,)   223.00K
Parameter553                                          (638,)     2.50K
Tensor554                                         (2, 56973)   890.50K
Parameter555                                          (638,)     2.50K
Parameter556                                          (638,)     2.50K
Parameter557                                        (35600,)   139.50K
Parameter558                                          (558,)     2.50K
Tensor559                                         (2, 35600)   556.50K
Parameter560                                          (558,)     2.50K
Parameter561                                          (558,)     2.50K
Parameter562                                        (15568,)    61.00K
Parameter563                                          (279,)     1.50K
Tensor564                                         (2, 15568)   243.50K
Parameter565                                          (279,)     1.50K
Parameter566                                          (279,)     1.50K
Parameter567                                         (7784,)    30.50K
Parameter568                                          (279,)     1.50K
Tensor569                                          (2, 7784)   122.00K
Parameter570                                          (8, 1)   512.00B
Parameter571                                            (8,)   512.00B
Tensor572                                             (8, 1)   512.00B
Parameter573                                          (8, 8)   512.00B
